a52dec 0.7.4-9
aalib 1.4rc5-12
accounts-qml-module 0.7-1
accountsservice 0.6.54+2+g204a4ab-1
acl 2.2.53-1
acpid 2.0.30-1
adapta-gtk-theme 3.95.0.1-1
adwaita-icon-theme 3.30.0-1
albert 0.14.21-2
alsa-lib 1.1.7-1
alsa-plugins 1.1.7-3
alsa-utils 1.1.7-1
antergos-alerts 18.9.9-1
antergos-alpm-hooks 1.1-1
antergos-common-meta 1.3-1
antergos-desktop-settings 1.14-1
antergos-gnome-defaults-list 1.1-3
antergos-gnome-meta 1.2-1
antergos-keyring 20170524-1
antergos-midnight-timers 1.0-3
antergos-mirrorlist 20180830-2
antergos-wallpapers 0.7-3
aom 1.0.0-1
appstream-glib 0.7.14-1
arc-gtk-theme 20181022-1
arc-icon-theme 20161122-1
archlinux-appstream-data 20181016-1
archlinux-keyring 20181031-1
argon2 20171227-3
aspell 0.60.6.1-5
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
atkmm 2.24.2+1+gf30b47f-2
attica 5.51.0-1
attr 2.4.48-1
audit 2.8.4-2
aurman 2.18-1
autoconf 2.69-4
autoconf-archive 1:2018.03.13-2
automake 1.16.1-1
avahi 0.7+16+g1cc2b8e-2
b43-fwcutter 019-2
babl 0.1.58-1
bamf 0.5.3-2
baobab 3.30.0-1
bash 4.4.023-1
bash-completion 2.8-1
bc 1.07.1-1
bind-tools 9.13.3-3
binutils 2.31.1-3
bison 3.1-1
blas 3.8.0-2
blueman 2.0.6-1
bluez 5.50-3
bluez-libs 5.50-3
bluez-utils 5.50-3
boost 1.68.0-2
boost-libs 1.68.0-2
brasero 3.12.2-2
bridge-utils 1.6-2
brotli 1.0.7-1
bspwm 0.9.5-1
btrfs-progs 4.17.1-1
bubblewrap 0.3.1-1
bzip2 1.0.6-8
bzr 2.7.0-2
c-ares 1.15.0-1
ca-certificates 20180821-1
ca-certificates-mozilla 3.40-1
ca-certificates-utils 20180821-1
cairo 1.16.0-1
cairo-perl 1.106-6
cairomm 1.12.2-2
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
cdrdao 1.2.3-10
cdrtools 3.02a09-1
celt 0.11.3-3
check 0.12.0-1
cheese 3.30.0-1
chromaprint 1.4.3-2
chromium 70.0.3538.77-2
cifs-utils 6.8-2
clang 7.0.0-1
clucene 2.3.3.4-10
clutter 1.26.2-1
clutter-gst 3.0.26-1
clutter-gtk 1.8.4-1
cmake 3.12.3-1
cmark-gfm 0.28.3.gfm.17-1
cogl 1.22.2+10+g3baa2d7a-1
colord 1.4.3-2
colord-gtk 0.1.26+5+ga9d9c91-1
compiler-rt 7.0.0-2
compton 3.0-2
consolas-font 1.1-1
convertlit 1.8-8
coreutils 8.30-1
cracklib 2.9.6-1
crda 4.14-1
cryfs 0.9.9-4
crypto++ 7.0.0-1
cryptsetup 2.0.5-1
cuda 10.0.130-2
cups 2.2.8-3
cups-filters 1.21.3-2
cups-pk-helper 0.2.6-1
curl 7.61.1-3
db 5.3.28-4
dbus 1.12.10-2
dbus-glib 0.110-1
dconf 0.30.1-1
dconf-editor 3.30.2-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.181-1
dhcpcd 7.0.8-1
diffutils 3.6-1
ding-libs 0.6.1-2
djvulibre 3.5.27-4
dleyna-connector-dbus 0.3.0-1
dleyna-core 0.6.0-1
dleyna-renderer 0.6.0-1
dleyna-server 0.6.0-1
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20181003-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-4
docker 1:18.06.1-1
dosfstools 4.1-1
double-conversion 3.1.1-1
dvd+rw-tools 7.1-8
e2fsprogs 1.44.4-1
ebook-tools 0.2.2-4
efibootmgr 16-1
efivar 35-1
egl-wayland 1.1.0-1
eglexternalplatform 1.0+3+g7c8f8e2-1
electron 2.0.12-1
emacs 26.1-2
enchant 2.2.3-1
eog 3.28.4-1
evince 3.30.2-1
evolution 3.30.2-1
evolution-data-server 3.30.2-2
exempi 2.4.5-1
exfat-utils 1.3.0-1
exiv2 0.26-2
exo 0.12.3-1
expac 9-1
expat 2.2.6-1
f2fs-tools 1.11.0-2
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
feh 2.28-1
ffmpeg 1:4.0.2-7
ffmpegthumbnailer 2.2.0-2
fftw 3.3.8-1
file 5.35-1
file-roller 3.30.1-1
filesystem 2018.8-1
findutils 4.6.0-2
firefox 63.0-2
flac 1.3.2-1
flex 2.6.4-1
folks 0.11.4+42+g5520ed9a-1
fontconfig 2:2.13.1+12+g5f5ec56-1
foomatic-db-engine 4:4.0.13-1
freetype2 2.9.1-1
fribidi 1.0.5-1
fuse-common 3.2.6-1
fuse2 2.9.8-1
gamin 0.1.10-9
garcon 0.6.1-1
gawk 4.2.1-1
gc 7.6.8-1
gcab 1.0+2+gc0947f6-1
gcc 8.2.1+20180831-1
gcc-libs 8.2.1+20180831-1
gcc7 7.3.1+20180814-1
gcc7-libs 7.3.1+20180814-1
gconf 3.2.6+11+g07808097-4
gcr 3.28.0-4
gd 2.2.5-1
gdbm 1.18-1
gdk-pixbuf2 2.38.0-1
gedit 3.30.2-1
gegl 0.4.8-1
geoclue2 2.5.1-1
geocode-glib 3.26.0-1
geoip 1.6.12-1
geoip-database 20180403-1
gettext 0.19.8.1-2
gfbgraph 0.2.3+10+gbc03c1f-1
ghc-libs 8.6.1-1
ghostscript 9.25-4
giblib 1.2.4-7
giflib 5.1.4-1
git 2.19.1-1
gjs 2:1.54.2-1
glew 2.1.0-1
glib-networking 2.58.0-1
glib-perl 1.326-2
glib2 2.58.1+67+g17519e039-1
glib2-docs 2.58.1+67+g17519e039-1
glibc 2.28-5
glibmm 2.56.0-1
glu 9.0.0-5
gmime3 3.2.2-1
gmp 6.1.2-1
gnome-autoar 0.2.3-1
gnome-backgrounds 3.30.0-1
gnome-bluetooth 3.28.2-1
gnome-calculator 3.30.1-1
gnome-calendar 3.30.0-1
gnome-color-manager 3.30.0-1
gnome-common 3.18.0-2
gnome-contacts 3.30.1-1
gnome-control-center 3.30.1-1
gnome-desktop 1:3.30.2-1
gnome-disk-utility 3.30.2-1
gnome-documents 3.30.0-2
gnome-epub-thumbnailer 1.5-1
gnome-font-viewer 3.30.0-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-keyring 1:3.28.2-1
gnome-logs 3.30.0-1
gnome-maps 3.30.2-1
gnome-mime-data 2.18.0-8
gnome-music 1:3.30.2-1
gnome-online-accounts 3.30.0-1
gnome-online-miners 3.30.0-1
gnome-photos 3.30.1-1
gnome-screenshot 3.30.0-1
gnome-session 3.30.1-1
gnome-settings-daemon 3.30.1.2-1
gnome-shell 1:3.30.1-1
gnome-shell-extension-dash-to-dock 1:64-1
gnome-shell-extension-dash-to-panel 16-1
gnome-shell-extension-shelltile-git 0+47+gc1bffa0-1
gnome-shell-extension-status-menu-buttons 0.3-2
gnome-shell-extensions 3.30.1-1
gnome-sound-recorder 3.28.1-2
gnome-system-monitor 3.30.0-1
gnome-terminal 3.30.2-1
gnome-themes-extra 3.28-1
gnome-tweaks 3.30.1-1
gnome-vfs 2.24.4-10
gnome-weather 3.26.0-1
gnupg 2.2.10-1
gnutls 3.5.19-2
gobject-introspection-runtime 1.58.0+2+g1f1dd7f4-2
gom 0.3.3-2
google-chrome 68.0.3440.106-1
google-chrome-beta 70.0.3538.16-1
gpgme 1.12.0-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
graphene 1.8.2-1
graphite 1:1.3.12-1
grep 3.1-1
grilo 0.3.6-1
grilo-plugins 0.3.8-1
grive 0.5.0-11
groff 1.22.3-7
grub 2:2.02-7
grub2-theme-antergos 0.1-1
grunt-cli 1.3.1-2
gsettings-desktop-schemas 3.28.1-1
gsfonts 20180524-1
gsm 1.0.18-1
gspell 1.8.1-1
gssdp 1.0.2-1
gssproxy 0.8.0-1
gst-libav 1.14.4-1
gst-plugins-bad 1.14.4-3
gst-plugins-base 1.14.4-1
gst-plugins-base-libs 1.14.4-1
gst-plugins-good 1.14.4-1
gst-plugins-ugly 1.14.4-1
gstreamer 1.14.4-1
gstreamer-vaapi 1.14.4-1
gtk-doc 1.29-1
gtk-engine-murrine 0.98.2-3
gtk-theme-solarc-git 705.57bb002-1
gtk-update-icon-cache 3.24.1+8+g220f77d8c1-1
gtk-xfce-engine 2.10.1-2
gtk2 2.24.32-1
gtk2-perl 1.24992-2
gtk3 3.24.1+8+g220f77d8c1-1
gtkmm3 3.22.2+2+g3002ed86-1
gtksourceview3 3.24.9-2
gtkspell3 3.0.9-3
guile 2.2.4-1
gupnp 1.0.3-1
gupnp-av 0.12.10-1
gupnp-dlna 0.10.5-2
gvfs 1.38.1-1
gvfs-goa 1.38.1-1
gvfs-google 1.38.1-1
gvfs-gphoto2 1.38.1-1
gvfs-mtp 1.38.1-1
gvfs-smb 1.38.1-1
gzip 1.9-1
harfbuzz 2.1.0-1
harfbuzz-icu 2.1.0-1
haskell-aeson 1.4.1.0-7
haskell-aeson-pretty 0.8.7-42
haskell-ansi-terminal 0.8.2-1
haskell-asn1-encoding 0.9.5-73
haskell-asn1-parse 0.9.4-84
haskell-asn1-types 0.3.2-80
haskell-async 2.2.1-3
haskell-attoparsec 0.13.2.2-32
haskell-base-compat 0.10.5-1
haskell-base64-bytestring 1.0.0.1-13
haskell-basement 0.0.8-2
haskell-blaze-builder 0.4.1.0-4
haskell-blaze-html 0.9.1.1-11
haskell-blaze-markup 0.8.2.2-5
haskell-byteable 0.1.1-10
haskell-case-insensitive 1.2.0.11-4
haskell-cereal 0.5.7.0-2
haskell-cmark-gfm 0.1.5-3
haskell-cmdargs 0.10.20-4
haskell-colour 2.3.4-12
haskell-connection 0.2.8-102
haskell-cookie 0.4.4-4
haskell-cryptonite 0.25-26
haskell-data-default 0.7.1.1-16
haskell-data-default-class 0.1.2.0-9
haskell-data-default-instances-containers 0.0.1-21
haskell-data-default-instances-dlist 0.0.1-29
haskell-data-default-instances-old-locale 0.0.1-21
haskell-digest 0.0.1.2-10
haskell-dlist 0.8.0.5-2
haskell-doctemplates 0.2.2.1-47
haskell-exceptions 0.10.0-8
haskell-foundation 0.0.21-14
haskell-glob 0.9.3-3
haskell-haddock-library 1.6.0-22
haskell-hashable 1.2.7.0-4
haskell-hourglass 0.2.12-7
haskell-hslua 1.0.1-6
haskell-hslua-module-text 0.2.0-7
haskell-hsyaml 0.1.1.2-3
haskell-http 4000.3.12-77
haskell-http-client 0.5.13.1-25
haskell-http-client-tls 0.3.5.3-81
haskell-http-types 0.12.2-7
haskell-hxt 9.3.1.16-12
haskell-hxt-charproperties 9.2.0.1-8
haskell-hxt-regex-xmlschema 9.2.0.3-12
haskell-hxt-unicode 9.0.2.4-8
haskell-integer-logarithms 1.0.2.2-2
haskell-juicypixels 3.3.2-2
haskell-lexer 1.0.2-2
haskell-memory 0.14.18-6
haskell-mime-types 0.1.0.8-2
haskell-network 2.7.0.2-14
haskell-network-uri 2.6.1.0-14
haskell-old-locale 1.0.0.7-15
haskell-old-time 1.1.0.3-15
haskell-pandoc-types 1.17.5.4-2
haskell-pem 0.2.4-32
haskell-pretty-show 1.8.2-3
haskell-primitive 0.6.4.0-2
haskell-quickcheck 2.11.3-5
haskell-random 1.1-13
haskell-regex-base 0.93.2-34
haskell-regex-pcre 0.94.4-10
haskell-safe 0.3.17-3
haskell-scientific 0.3.6.2-8
haskell-sha 1.6.4.4-4
haskell-skylighting 0.7.4-5
